"No";"Suhu";"Lembab";"Kenyamanan"
1;0;0;"Tidak Nyaman"
2;0;1;"Tidak Nyaman"
3;0;2;"Tidak Nyaman"
4;0;3;"Tidak Nyaman"
5;0;4;"Tidak Nyaman"
6;0;5;"Tidak Nyaman"
7;0;6;"Tidak Nyaman"
8;0;7;"Tidak Nyaman"
9;0;8;"Tidak Nyaman"
10;0;9;"Tidak Nyaman"
11;0;10;"Tidak Nyaman"
12;0;11;"Tidak Nyaman"
13;0;12;"Tidak Nyaman"
14;0;13;"Tidak Nyaman"
15;0;14;"Tidak Nyaman"
16;0;15;"Tidak Nyaman"
17;0;16;"Tidak Nyaman"
18;0;17;"Tidak Nyaman"
19;0;18;"Tidak Nyaman"
20;0;19;"Tidak Nyaman"
21;0;20;"Tidak Nyaman"
22;0;21;"Tidak Nyaman"
23;0;22;"Tidak Nyaman"
24;0;23;"Tidak Nyaman"
25;0;24;"Tidak Nyaman"
26;0;25;"Tidak Nyaman"
27;0;26;"Tidak Nyaman"
28;0;27;"Tidak Nyaman"
29;0;28;"Tidak Nyaman"
30;0;29;"Tidak Nyaman"
31;0;30;"Tidak Nyaman"
32;0;31;"Tidak Nyaman"
33;0;32;"Tidak Nyaman"
34;0;33;"Tidak Nyaman"
35;0;34;"Tidak Nyaman"
36;0;35;"Tidak Nyaman"
37;0;36;"Tidak Nyaman"
38;0;37;"Tidak Nyaman"
39;0;38;"Tidak Nyaman"
40;0;39;"Tidak Nyaman"
41;0;40;"Tidak Nyaman"
42;0;41;"Tidak Nyaman"
43;0;42;"Tidak Nyaman"
44;0;43;"Tidak Nyaman"
45;0;44;"Tidak Nyaman"
46;0;45;"Tidak Nyaman"
47;0;46;"Tidak Nyaman"
48;0;47;"Tidak Nyaman"
49;0;48;"Tidak Nyaman"
50;0;49;"Tidak Nyaman"
51;0;50;"Tidak Nyaman"
52;0;51;"Tidak Nyaman"
53;0;52;"Tidak Nyaman"
54;0;53;"Tidak Nyaman"
55;0;54;"Tidak Nyaman"
56;0;55;"Tidak Nyaman"
57;0;56;"Tidak Nyaman"
58;0;57;"Tidak Nyaman"
59;0;58;"Tidak Nyaman"
60;0;59;"Tidak Nyaman"
61;0;60;"Tidak Nyaman"
62;0;61;"Tidak Nyaman"
63;0;62;"Tidak Nyaman"
64;0;63;"Kurang Nyaman"
65;0;64;"Kurang Nyaman"
66;0;65;"Kurang Nyaman"
67;0;66;"Kurang Nyaman"
68;0;67;"Kurang Nyaman"
69;0;68;"Kurang Nyaman"
70;0;69;"Kurang Nyaman"
71;0;70;"Kurang Nyaman"
72;0;71;"Kurang Nyaman"
73;0;72;"Kurang Nyaman"
74;0;73;"Kurang Nyaman"
75;0;74;"Kurang Nyaman"
76;0;75;"Kurang Nyaman"
77;0;76;"Kurang Nyaman"
78;0;77;"Kurang Nyaman"
79;0;78;"Kurang Nyaman"
80;0;79;"Kurang Nyaman"
81;0;80;"Kurang Nyaman"
82;0;81;"Kurang Nyaman"
83;0;82;"Kurang Nyaman"
84;0;83;"Kurang Nyaman"
85;0;84;"Kurang Nyaman"
86;0;85;"Kurang Nyaman"
87;0;86;"Kurang Nyaman"
88;0;87;"Kurang Nyaman"
89;0;88;"Kurang Nyaman"
90;0;89;"Kurang Nyaman"
91;0;90;"Kurang Nyaman"
92;0;91;"Kurang Nyaman"
93;0;92;"Kurang Nyaman"
94;0;93;"Kurang Nyaman"
95;0;94;"Kurang Nyaman"
96;0;95;"Kurang Nyaman"
97;0;96;"Kurang Nyaman"
98;0;97;"Kurang Nyaman"
99;0;98;"Kurang Nyaman"
100;0;99;"Kurang Nyaman"
101;0;100;"Kurang Nyaman"
102;1;0;"Tidak Nyaman"
103;1;1;"Tidak Nyaman"
104;1;2;"Tidak Nyaman"
105;1;3;"Tidak Nyaman"
106;1;4;"Tidak Nyaman"
107;1;5;"Tidak Nyaman"
108;1;6;"Tidak Nyaman"
109;1;7;"Tidak Nyaman"
110;1;8;"Tidak Nyaman"
111;1;9;"Tidak Nyaman"
112;1;10;"Tidak Nyaman"
113;1;11;"Tidak Nyaman"
114;1;12;"Tidak Nyaman"
115;1;13;"Tidak Nyaman"
116;1;14;"Tidak Nyaman"
117;1;15;"Tidak Nyaman"
118;1;16;"Tidak Nyaman"
119;1;17;"Tidak Nyaman"
120;1;18;"Tidak Nyaman"
